,Tweet,Anger,Depression,Fatigue,Vigour,Tension,Confusion
0,"Get to the airport, put my case in, next stop. You know, the bark.",0.4835904,0.15451495,0.06977804,0.0042270226,0.24895331,0.038936276
1,"Gardening, yes.",0.22095896,0.38060755,0.15200299,0.034668807,0.113831736,0.097929955
2,"She was fine. she was all right. I mean, the first plant landed upside down",0.15894178,0.33161017,0.027153924,0.011599371,0.034754418,0.43594033
3,"Well, sometimes you get, you know, a bit negative. Yeah, I like to say something serene. You know? Yeah, like I said, that is it. Right? Well, yeah. You know that all these, you know?",0.86797786,0.07817315,0.0007556207,2.431482e-08,0.0014153358,0.05167802
4,"Yeah, just get him off the chair and just sit outside in the fresh air saying, try it now, but I've tried to say, man instead of me doing it today, you do it. You know? But he's afraid of falling over. The guy fell over several times and of course..",0.17519526,0.0066498998,0.033625975,0.00030019745,0.6020911,0.1821376
5,Got in touch with the right people? Yes. To one another. Yeah.,0.60578847,0.17284904,0.09272197,0.009129154,0.021917585,0.09759379
6,"He's been so independent because, I mean, he was he was in the Marines, but he's been so independent and helping other people before he needed himself and he doesn't like it.",0.045645915,0.6174323,0.00018488526,8.16102e-08,0.0036002416,0.3331366
7,It works both for and.,0.1971735,0.49673617,0.020633388,0.014842097,0.02962284,0.24099201
8,We never know. Laughs.,0.05673756,0.519416,0.04378556,0.0076683774,0.04242992,0.32996258
9,"And this is often very, very commonly when we call our GP. It's so difficult to talk to your GP, I mean, you just end up in these terrible menus.",0.20837264,0.7444313,0.0010375475,9.648605e-07,0.0057801027,0.040377434
10,"The only danger I can see is crime. Crime is a lot, isn't it?",0.020363286,0.9274095,0.0007882281,0.003371004,0.014162252,0.033905696
11,They don't have taxis today from community aims to begin,0.0979046,0.82618946,0.009840742,0.0023488621,0.014532886,0.049183443
12,"No, that wasn't the taxi, that that was a human error.",0.6689456,0.14976428,0.017657595,0.00037430463,0.009398955,0.15385924
13,That's a difficult one.,0.40093023,0.19603258,0.08177786,0.00324499,0.019962551,0.29805177
14,"Technology, stairs and trip hazards",0.066506594,0.38753778,0.24188967,0.02173095,0.143077,0.13925798
15,You've got some undesirable people in our block.,0.5343227,0.42264852,0.0013560327,0.0014656953,0.0029821927,0.03722488
16,"The deliveries, delivery services, as a negative, because they don't bring it all the way up the stairs.",0.67749536,0.22786808,0.062386036,0.0009419614,0.00521019,0.026098346
